abs_delta_gen_max,abs_delta_gen_mean,donor_gen_max,donor_gen_mean,donor_minus_recipient_gen_mean,feature_id,n,recipient_gen_max,recipient_gen_mean,recipient_minus_donor_gen_mean,source_model,split
2.72265625,0.01896972581744194,5.54296875,0.09035644680261612,-0.01604003831744194,2451,1,5.56640625,0.10639648139476776,0.01604003831744194,bundle_patch_decoder_top3210_plus_rank3218_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,4983,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3218_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3219_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3219_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3210_plus_rank3219_plus_rank3308_plus_rank3323_plus_rank4266,harmful
2.72265625,0.01896972581744194,5.54296875,0.09035644680261612,-0.01604003831744194,2451,1,5.56640625,0.10639648139476776,0.01604003831744194,bundle_patch_decoder_top3210_plus_rank3219_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,4983,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3219_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3210_plus_rank3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
2.72265625,0.01896972581744194,5.54296875,0.09035644680261612,-0.01604003831744194,2451,1,5.56640625,0.10639648139476776,0.01604003831744194,bundle_patch_decoder_top3210_plus_rank3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,4983,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3210_plus_rank3308_plus_rank3323_plus_rank4266,harmful
2.72265625,0.01896972581744194,5.54296875,0.09035644680261612,-0.01604003831744194,2451,1,5.56640625,0.10639648139476776,0.01604003831744194,bundle_patch_decoder_top3210_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,4983,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.099609375,0.05816650390625,6.77734375,0.667285144329071,-0.01431884802877903,1293,1,6.82421875,0.6816040277481079,0.01431884802877903,bundle_patch_decoder_top3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0859375,0.0005371093866415322,2.80078125,0.01750488206744194,-0.0005371093866415322,2451,1,2.88671875,0.01804199256002903,0.0005371093866415322,bundle_patch_decoder_top3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0390625,0.000244140625,3.16015625,0.01975097693502903,-0.000244140625,4983,1,3.19921875,0.01999511756002903,0.000244140625,bundle_patch_decoder_top3220_plus_rank3308_plus_rank3323_plus_rank4266,harmful
