condition,feature_id,layer,mean_abs_delta,mean_donor_activation,mean_patched_activation,mean_recipient_activation,mean_signed_delta,n,patched_fraction,position_kind
narrow_f16048_abog_l12r274_generated,40,12,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_f16048_abog_l12r274_generated,12075,12,0.341796875,0.341796875,0.0,0.0,0.341796875,7,0.0,assistant_boundary_or_template
narrow_f16048_abog_l12r274_generated,12075,12,0.08076016865079365,0.31026785714285715,0.2560453869047619,0.23121279761904762,0.07905505952380952,63,0.0,generated
narrow_f16048_abog_l12r274_generated,12075,12,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_f16048_abog_l12r274_generated,16048,19,0.0,0.0,0.0,0.0,0.0,7,0.7142857142857143,assistant_boundary_or_template
narrow_f16048_abog_l12r274_generated,16048,19,1.2992311507936507,1.675719246031746,1.5656001984126984,0.37648809523809523,1.2992311507936507,63,1.0,generated
narrow_f16048_abog_l12r274_generated,16048,19,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_f16048_abog_l12r295_abog,40,12,0.0,0.0,0.0,0.0,0.0,7,0.0,assistant_boundary_or_template
narrow_f16048_abog_l12r295_abog,40,12,0.21236359126984128,0.21236359126984128,0.0,0.0,0.21236359126984128,63,0.0,generated
narrow_f16048_abog_l12r295_abog,40,12,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_f16048_abog_l12r295_abog,12075,12,0.341796875,0.341796875,0.38309151785714285,0.0,0.341796875,7,0.7142857142857143,assistant_boundary_or_template
narrow_f16048_abog_l12r295_abog,12075,12,0.255890376984127,0.255890376984127,0.20462859623015872,0.0,0.255890376984127,63,1.0,generated
narrow_f16048_abog_l12r295_abog,12075,12,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_f16048_abog_l12r295_abog,16048,19,0.0,0.0,0.0,0.0,0.0,7,0.7142857142857143,assistant_boundary_or_template
narrow_f16048_abog_l12r295_abog,16048,19,0.7474578373015873,0.9510788690476191,0.8878968253968254,0.20362103174603174,0.7474578373015873,63,1.0,generated
narrow_f16048_abog_l12r295_abog,16048,19,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_f16048_abog_l12r295_assistant_boundary,40,12,0.0,0.0,0.0,0.0,0.0,7,0.0,assistant_boundary_or_template
narrow_f16048_abog_l12r295_assistant_boundary,40,12,0.5372643849206349,0.5372643849206349,0.0,0.0,0.5372643849206349,63,0.0,generated
narrow_f16048_abog_l12r295_assistant_boundary,40,12,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_f16048_abog_l12r295_assistant_boundary,12075,12,0.341796875,0.341796875,0.38309151785714285,0.0,0.341796875,7,0.7142857142857143,assistant_boundary_or_template
narrow_f16048_abog_l12r295_assistant_boundary,12075,12,0.08076016865079365,0.31026785714285715,0.2560453869047619,0.23121279761904762,0.07905505952380952,63,0.0,generated
narrow_f16048_abog_l12r295_assistant_boundary,12075,12,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_f16048_abog_l12r295_assistant_boundary,16048,19,0.0,0.0,0.0,0.0,0.0,7,0.7142857142857143,assistant_boundary_or_template
narrow_f16048_abog_l12r295_assistant_boundary,16048,19,1.2902405753968254,1.675719246031746,1.5615079365079365,0.38547867063492064,1.2902405753968254,63,1.0,generated
narrow_f16048_abog_l12r295_assistant_boundary,16048,19,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_prefix_only,40,12,0.0,0.0,0.0,0.0,0.0,7,0.0,assistant_boundary_or_template
narrow_prefix_only,40,12,0.24643477182539683,0.24643477182539683,0.0,0.0,0.24643477182539683,63,0.0,generated
narrow_prefix_only,40,12,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_prefix_only,12075,12,0.341796875,0.341796875,0.0,0.0,0.341796875,7,0.0,assistant_boundary_or_template
narrow_prefix_only,12075,12,0.18536086309523808,0.2300967261904762,0.0826202876984127,0.11232018849206349,0.1177765376984127,63,0.0,generated
narrow_prefix_only,12075,12,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
narrow_prefix_only,16048,19,0.0,0.0,0.0,0.0,0.0,7,0.0,assistant_boundary_or_template
narrow_prefix_only,16048,19,0.7659350198412699,1.3141121031746033,0.5974082341269841,0.6129092261904762,0.701202876984127,63,0.0,generated
narrow_prefix_only,16048,19,0.0,0.0,0.0,0.0,0.0,4,0.0,prompt_template
