bundle,feature_ids,layer,selected_features
critical12_p22_p23_drop_rank002,"1338,4326,4339,6289,7531,8775,9135,9149,12652,12704,13622,14991,15169",20,13
critical12_p22_p23_drop_rank007,"1338,4326,4339,6289,7531,8775,9135,9149,12652,12704,12963,13622,15169",20,13
critical12_p22_p23_drop_rank009,"1338,4326,4339,6289,7531,8775,9135,9149,12652,12963,13622,14991,15169",20,13
critical12_p22_p23_drop_rank014,"1338,4326,4339,6289,7531,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p23_drop_rank016,"1338,4326,6289,7531,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p23_drop_rank020,"1338,4339,6289,7531,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p23_drop_rank024,"1338,4326,4339,6289,7531,8775,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p23_drop_rank025,"1338,4326,4339,6289,7531,8775,9135,9149,12652,12704,12963,14991,15169",20,13
critical12_p22_p23_drop_rank027,"1338,4326,4339,6289,7531,8775,9135,9149,12704,12963,13622,14991,15169",20,13
critical12_p22_p23_drop_rank028,"4326,4339,6289,7531,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p23_drop_rank033,"1338,4326,4339,7531,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p29_drop_rank001,"321,1338,4326,4339,6289,8775,9135,9149,12652,12704,12963,13622,14991",20,13
critical12_p22_p29_drop_rank002,"321,1338,4326,4339,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,13
critical12_p22_p29_drop_rank007,"321,1338,4326,4339,6289,8775,9135,9149,12652,12704,12963,13622,15169",20,13
critical12_p22_p29_drop_rank009,"321,1338,4326,4339,6289,8775,9135,9149,12652,12963,13622,14991,15169",20,13
critical12_p22_p29_drop_rank014,"321,1338,4326,4339,6289,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p29_drop_rank016,"321,1338,4326,6289,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p29_drop_rank020,"321,1338,4339,6289,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p29_drop_rank024,"321,1338,4326,4339,6289,8775,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p29_drop_rank025,"321,1338,4326,4339,6289,8775,9135,9149,12652,12704,12963,14991,15169",20,13
critical12_p22_p29_drop_rank027,"321,1338,4326,4339,6289,8775,9135,9149,12704,12963,13622,14991,15169",20,13
critical12_p22_p29_drop_rank028,"321,4326,4339,6289,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p22_p29_drop_rank033,"321,1338,4326,4339,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_p23_p31_drop_rank001,"1338,1813,4326,4339,6289,7531,8775,9135,12652,12704,12963,13622,14991",20,13
critical12_p23_p31_drop_rank002,"1338,1813,4326,4339,6289,7531,8775,9135,12652,12704,13622,14991,15169",20,13
critical12_p23_p31_drop_rank007,"1338,1813,4326,4339,6289,7531,8775,9135,12652,12704,12963,13622,15169",20,13
critical12_p23_p31_drop_rank009,"1338,1813,4326,4339,6289,7531,8775,9135,12652,12963,13622,14991,15169",20,13
critical12_p23_p31_drop_rank014,"1338,1813,4326,4339,6289,7531,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_p23_p31_drop_rank016,"1338,1813,4326,6289,7531,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_p23_p31_drop_rank020,"1338,1813,4339,6289,7531,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_p23_p31_drop_rank024,"1338,1813,4326,4339,6289,7531,8775,12652,12704,12963,13622,14991,15169",20,13
critical12_p23_p31_drop_rank025,"1338,1813,4326,4339,6289,7531,8775,9135,12652,12704,12963,14991,15169",20,13
critical12_p23_p31_drop_rank027,"1338,1813,4326,4339,6289,7531,8775,9135,12704,12963,13622,14991,15169",20,13
critical12_p23_p31_drop_rank028,"1813,4326,4339,6289,7531,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_p23_p31_drop_rank033,"1338,1813,4326,4339,7531,8775,9135,12652,12704,12963,13622,14991,15169",20,13
