condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_critical12_p22_p23_drop_rank002,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_critical12_p22_p23_drop_rank007,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank007,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank009,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank009,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank014,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank014,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank016,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank016,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank020,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank020,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank024,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank024,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank025,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank025,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank027,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank027,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank028,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank028,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p23_drop_rank033,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p23_drop_rank033,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank001,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank001,-0.421875,-0.421875,-0.421875,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank002,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank002,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank007,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank007,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank009,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank009,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank014,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank014,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank016,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank016,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank020,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank020,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank024,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank024,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank025,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank025,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank027,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank027,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank028,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank028,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_p22_p29_drop_rank033,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p22_p29_drop_rank033,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank001,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank001,-0.421875,-0.421875,-0.421875,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank002,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank002,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank007,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank007,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank009,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank009,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank014,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank014,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank016,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank016,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank020,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank020,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank024,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank024,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank025,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank025,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank027,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank027,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank028,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank028,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_p23_p31_drop_rank033,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_p23_p31_drop_rank033,0.0,0.0,0.0,1,harmful,0.0,1.0
