condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f6289_add_f7531,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f6289_add_f7531,-0.390625,-0.390625,-0.390625,1,harmful,0.0,1.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f1338,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f1338,-0.390625,-0.390625,-0.390625,1,harmful,0.0,1.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f7531,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f7531,-0.390625,-0.390625,-0.390625,1,harmful,0.0,1.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f9407,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f9407,-0.390625,-0.390625,-0.390625,1,harmful,0.0,1.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f1338_add_f8775,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f1338_add_f8775,-0.390625,-0.390625,-0.390625,1,harmful,0.0,1.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f6289_add_f7531,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f6289_add_f7531,-0.390625,-0.390625,-0.390625,1,harmful,0.0,1.0
linear_alpha_0.7,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
linear_alpha_0.7,-1.15625,-1.15625,-1.15625,1,harmful,0.0,1.0
linear_alpha_1,-4.10546875,-4.10546875,-4.10546875,1,benign,0.0,0.0
linear_alpha_1,1.75,1.75,1.75,1,harmful,1.0,0.0
