condition,eval_slice,eval_start,k,layer,layer_group,layers,random_seed,score_sum,selected_features,selector,variant
random,4:8,4,2048,20,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,12,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,13,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,14,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,15,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,16,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,17,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,12,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,13,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,14,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,15,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,16,all,"12,13,14,15,16,17,18,19,20",1,,1893,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,17,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,12,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,13,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,14,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,15,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,16,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,17,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,12,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,13,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,14,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,15,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,16,all,"12,13,14,15,16,17,18,19,20",2,,1893,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,17,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
deterministic,4:8,4,all,15,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
